ID,LABEL,SYNONYMS
APOLLO_SV:00000000,purely intentional entity,
APOLLO_SV:00000016,infectious period duration,
APOLLO_SV:00000017,latent period duration,
APOLLO_SV:00000019,count of simulated exposed population,
APOLLO_SV:00000020,count of simulated contagious population,
APOLLO_SV:00000021,count of simulated resistant population,
APOLLO_SV:00000022,count of simulated population,
APOLLO_SV:00000031,simulated population,
APOLLO_SV:00000032,count,
APOLLO_SV:00000033,counting,
APOLLO_SV:00000056,hospital patient population census,
APOLLO_SV:00000070,simulation,
APOLLO_SV:00000098,count of contagious population,
APOLLO_SV:00000099,count of resistant population,
APOLLO_SV:00000115,infection acquisition,
APOLLO_SV:00000153,population census,
APOLLO_SV:00000168,nursery school student population census,
APOLLO_SV:00000169,primary school student population census,
APOLLO_SV:00000170,secondary school student population census,
APOLLO_SV:00000173,census,
APOLLO_SV:00000176,school student population census,
APOLLO_SV:00000211,transmission probability,
APOLLO_SV:00000236,asymptomatic host,
APOLLO_SV:00000238,host organism,
APOLLO_SV:00000240,census reference date,
APOLLO_SV:00000243,duration,
APOLLO_SV:00000258,delay from symptoms to treatment,
APOLLO_SV:00000265,infection acquisition from infectious host,
APOLLO_SV:00000267,time delay to case detection,
APOLLO_SV:00000280,duration of treatment course,
APOLLO_SV:00000281,number of doses in a treatment course,
APOLLO_SV:00000291,time delay of treatment detection,
APOLLO_SV:00000470,probability,
APOLLO_SV:00000497,count of disease cases,
APOLLO_SV:00000498,count of cases in an epidemic,
APOLLO_SV:00000501,population colonization census,
APOLLO_SV:00000511,infection acquisition through sexual activity with infectious host,
APOLLO_SV:00000617,population count,
ARO:3004299,,
ARO:3004305,,
ARO:3004360,,
ARO:3004366,,NCCLS|National Committee on Clinical Laboratory Standards (NCCLS)
ARO:3004371,,
ARO:3004372,,
ARO:3004388,,
ARO:3004390,,
ARO:3004391,,
ARO:3004397,,
ARO:3004404,,
ARO:3004430,,
ARO:3004431,,
ARO:3004440,,
AfPO:0000056,Maasai,
AfPO:0000057,Samburu,
AfPO:0000058,Tiv,
AfPO:0000060,Nama,
AfPO:0000064,Susu,
AfPO:0000066,Taveta,
AfPO:0000067,Bassa,
AfPO:0000069,Zulu,
AfPO:0000071,Dinka,
AfPO:0000074,Bambara,
AfPO:0000075,Sebei,
AfPO:0000080,Masalit,
AfPO:0000084,Bulu,
AfPO:0000085,Taita,
AfPO:0000087,Igbo,
AfPO:0000088,Kikuyu,
AfPO:0000091,Terik,
AfPO:0000095,Anuak,
AfPO:0000098,Nandi,
AfPO:0000102,Lunda,
AfPO:0000103,Tsonga,
AfPO:0000104,Fulani,
AfPO:0000105,Yoruba,
AfPO:0000107,Zaghawa,
AfPO:0000109,Tugen,
AfPO:0000112,Meru,
AfPO:0000113,Oromo,
AfPO:0000115,Fur,
AfPO:0000116,Xhosa,
AfPO:0000121,Minianka,
AfPO:0000123,Herero,
AfPO:0000125,Hausa,
AfPO:0000126,Nuer,
AfPO:0000127,Mijikenda,
AfPO:0000128,Fang,
AfPO:0000131,Mossi,Moore|Mooré|More|Moré|Moshi|Mòoré|Mõõré
AfPO:0000132,Bemba,
AfPO:0000134,Kamba,
AfPO:0000135,Rendille,
AfPO:0000136,Ga-Adangbe,
AfPO:0000139,Bulsa,
AfPO:0000140,Chewa,
AfPO:0000141,Soninke,
AfPO:0000142,Tswana,
AfPO:0000145,Tuareg,
AfPO:0000147,Dagomba,
AfPO:0000148,Kusasi,
AfPO:0000149,Frafra,
AfPO:0000150,Gurunsi,
AfPO:0000151,Gurma,
AfPO:0000153,Dagaaba,
AfPO:0000161,Dyula,
AfPO:0000168,Bihari Mauritian,
AfPO:0000170,Mauritian Creole,
AfPO:0000171,Tamil,
AfPO:0000179,Nankani,
AfPO:0000180,Seychellois,
AfPO:0000183,Khoisan Eastern,
AfPO:0000184,Semitic Eastern,
AfPO:0000185,Semite Northern,
AfPO:0000186,Semite Central,
AfPO:0000187,Pygmy Eastern,
AfPO:0000188,Eastern African,
AfPO:0000189,Berber Western,
AfPO:0000190,Nubian Eastern,
AfPO:0000191,Mattokki,
AfPO:0000194,Banda,
AfPO:0000195,Mahas,
AfPO:0000198,Luo,
AfPO:0000199,Kalenjin,
AfPO:0000200,Pygmy Southern,
AfPO:0000201,Senufo,
AfPO:0000203,Akan,
AfPO:0000204,Daza,
AfPO:0000205,Jola,
AfPO:0000206,Songhai,
AfPO:0000207,Banyarwanda,
AfPO:0000209,Ari,
AfPO:0000211,Gaaliin,
AfPO:0000212,Shaigiya,
AfPO:0000213,Messiria,
AfPO:0000214,Hadendoa,
AfPO:0000215,Halfawieen,
AfPO:0000216,Nuba,
AfPO:0000220,Sahrawi,
AfPO:0000224,Jarawa,
AfPO:0000225,Hadza,
AfPO:0000227,Serer,
AfPO:0000228,Manjak,
AfPO:0000229,Balanta,
AfPO:0000231,Mozabite,
AfPO:0000236,Ngoni,
AfPO:0000237,Lomwe,
AfPO:0000238,Yao,
AfPO:0000239,Mang'anja,
AfPO:0000240,Sena,
AfPO:0000241,Bongo,
AfPO:0000242,Chipeta,
AfPO:0000243,Nyakyusa,
AfPO:0000244,Burunge,
AfPO:0000245,Antankarana,
AfPO:0000247,Tsimihety,
AfPO:0000248,Sakalava,
AfPO:0000249,Betsimisaraka,
AfPO:0000250,Antemoro,
AfPO:0000251,Betsileo,
AfPO:0000252,Zafimaniry,
AfPO:0000253,Merina,
AfPO:0000254,Bara,
AfPO:0000255,Vezo,
AfPO:0000256,Antandroy,
AfPO:0000257,Mahafaly,
AfPO:0000258,Cafre,
AfPO:0000259,Malbar,
AfPO:0000260,Zarabe,
AfPO:0000261,Zoreille,
AfPO:0000262,Sinwa,
AfPO:0000263,!Kung,
AfPO:0000264,Ubangi Central,
AfPO:0000265,Nilotic Central,
AfPO:0000266,Bangba,
AfPO:0000268,Mayogo,
AfPO:0000269,Cushitic Eastern,
AfPO:0000270,Nilotic Western,
AfPO:0000271,Sudanic,
AfPO:0000273,Bantu Central,
AfPO:0000274,Central African,
AfPO:0000275,Northern African,
AfPO:0000276,Southern African,
AfPO:0000277,Western African,
AfPO:0000278,Kanuri,
AfPO:0000279,Kotoko,
AfPO:0000280,Masa,
AfPO:0000281,Pygmy Central,
AfPO:0000282,Aka,
AfPO:0000283,Baka_Cameroon,
AfPO:0000284,Mbuti,
AfPO:0000285,Efé,
AfPO:0000286,Sua,
AfPO:0000287,Twa,
AfPO:0000288,Kwatay,
AfPO:0000289,Kanembu,
AfPO:0000290,Beti-Pahuin,
AfPO:0000291,Chokwe,
AfPO:0000292,Kongo,
AfPO:0000293,Luba,
AfPO:0000294,Mbundu,
AfPO:0000295,Moghamo,
AfPO:0000296,Mongo,
AfPO:0000297,Ngala,
AfPO:0000298,Ngamambo,
AfPO:0000299,Tikar,
AfPO:0000300,Ovimbundu,
AfPO:0000301,Mbunda,
AfPO:0000302,Gbaya,
AfPO:0000303,Ngbandi,
AfPO:0000304,Zande,
AfPO:0000305,Baggara,
AfPO:0000306,Sara,
AfPO:0000307,Toubou,Tabu|Tebou|Tebu|Tibbu|Tibu|Toda|Todaga|Todga|Tubu|Tuda|Tudaga|Umbararo
AfPO:0000325,Afrikaner,
AfPO:0000326,Bantu Southern,
AfPO:0000327,British diaspora,
AfPO:0000328,Coloured,
AfPO:0000329,Goffel,
AfPO:0000330,French diaspora,
AfPO:0000331,Khoekhoe,
AfPO:0000332,San,
AfPO:0000333,Khoisan South,
AfPO:0000334,Taa,
AfPO:0000335,Banareng,
AfPO:0000336,Himba,
AfPO:0000337,Kwangali,
AfPO:0000338,Lemba,
AfPO:0000339,Makua,
AfPO:0000340,Nguni,
AfPO:0000341,Ovambo,
AfPO:0000342,Shona,
AfPO:0000343,Sotho,
AfPO:0000344,Tonga,
AfPO:0000345,Venda,
AfPO:0000346,Yeyi,
AfPO:0000347,Pedi,
AfPO:0000348,Kalanga,
AfPO:0000349,Nambya,
AfPO:0000350,Ndebele,
AfPO:0000351,Swazi,
AfPO:0000352,North Ndebele,
AfPO:0000353,South Ndebele,
AfPO:0000354,Kgatla,
AfPO:0000355,Andalusian,
AfPO:0000356,Berber Northern,
AfPO:0000357,Copt,
AfPO:0000358,Nubian Northern,
AfPO:0000359,Algerian Berber,
AfPO:0000360,Lybian Berber,
AfPO:0000361,Moroccan Berber,
AfPO:0000362,Shilha,
AfPO:0000363,Tunisian Andalusian,
AfPO:0000364,Tunisian Berber,
AfPO:0000365,Egyptian,
AfPO:0000366,Haratin,
AfPO:0000367,Maghrebi,
AfPO:00003674,Gumuz,
AfPO:0000368,Moor,
AfPO:0000369,Bantu Eastern,
AfPO:0000370,Malagasy,
AfPO:0000371,Nilotic Eastern,
AfPO:0000372,Wolaita,
AfPO:0000373,Bari,
AfPO:0000374,Acholi,
AfPO:0000375,Kwama,
AfPO:0000376,Turkana,
AfPO:0000377,Alur,
AfPO:0000378,Lango,
AfPO:0000379,Shilluk,
AfPO:0000380,Birged,
AfPO:0000381,Dongolese,
AfPO:0000382,Hill Nubian,
AfPO:0000383,Afar,
AfPO:0000384,Agaw,
AfPO:0000385,Beja,
AfPO:0000386,Bilen,
AfPO:0000387,Saho,
AfPO:0000388,Sidama,
AfPO:0000389,Somali,
AfPO:0000390,Lugbara,
AfPO:0000391,Amhara,
AfPO:0000392,Gurage,
AfPO:0000393,Habesha,
AfPO:0000394,Rashaida,
AfPO:0000395,Sudanese Arab,
AfPO:0000396,Tigrinya,
AfPO:0000397,Tigré,
AfPO:0000398,Baka_South_Sudan,
AfPO:0000399,Sandawe,
AfPO:0000400,Basoga,
AfPO:0000401,Chaga,
AfPO:0000402,Embu,
AfPO:0000403,Ganda,
AfPO:0000404,Kisii,
AfPO:0000405,Luhya,
AfPO:0000406,Makonde,
AfPO:0000407,Nyoro,
AfPO:0000408,Swahili,
AfPO:0000409,Tumbuka,
AfPO:0000410,Adele,
AfPO:0000411,Aku,
AfPO:0000412,Bantu Western,
AfPO:0000413,Biafada,
AfPO:0000414,Bubi,
AfPO:0000415,Buduma,
AfPO:0000416,Dogon,
AfPO:0000417,Edo,
AfPO:0000418,Efik,
AfPO:0000419,Eket,Ekid
AfPO:0000420,Esan,
AfPO:0000421,Ewe,
AfPO:0000422,Fon,
AfPO:0000423,Ibibio,
AfPO:0000424,Ijaw,
AfPO:0000425,Mande Western,
AfPO:0000426,Mole-Dagbani,
AfPO:0000427,Urhobo,
AfPO:0000428,Wolof,
AfPO:0000429,Bissa,
AfPO:0000430,Mandinka,
AfPO:0000431,Marka,
AfPO:0000432,Mende,
AfPO:0000433,Kassena,
AfPO:0000434,Zarma,
AfPO:0000435,Dendi,
AfPO:0000436,Okiek,
AfPO:0000437,Hutu,
AfPO:0000438,Tutsi,
AfPO:0000440,Bamileke,
AfPO:0000442,Isoko,
AfPO:0000443,Kru,
AfPO:0000461,Duala,
AfPO:0000462,Eshira,
AfPO:0000463,Hema,
AfPO:0000464,Kota,
AfPO:0000465,Makaa,
AfPO:0000466,Myene,
AfPO:0000467,Nande,
AfPO:0000468,Ngumba,
AfPO:0000469,Obamba,
AfPO:0000470,Pende,
AfPO:0000471,Punu,
AfPO:0000472,Teke,
AfPO:0000473,Vili,
AfPO:0000474,Mandar,
AfPO:0000475,Mangbetu,
AfPO:0000476,Manja,
AfPO:0000477,Marba,
AfPO:0000478,Mbum,
AfPO:0000479,Nzebi,
AfPO:0000480,Podoko,
AfPO:0000481,Gyele,
AfPO:0000482,Yaka,
AfPO:0000483,Tupuri,
AfPO:0000484,Wuzlam,
AfPO:0000485,Yakoma,
AfPO:0000486,Chopi,
AfPO:0000487,Mbeere,
AfPO:0000488,Kiga,
AfPO:0000489,Lambya,
AfPO:0000490,Masaba,
AfPO:0000491,Segeju,
AfPO:0000492,Nkole,
AfPO:0000493,Nyamwezi,
AfPO:0000494,Pokomo,
AfPO:0000495,Ndau,
AfPO:0000496,Sukuma,
AfPO:0000497,Tharaka,
AfPO:0000498,Aweer,
AfPO:0000499,Elmolo,
AfPO:0000500,Hadiya,
AfPO:0000501,Borana,
AfPO:0000502,Gabra,
AfPO:0000503,Antambahoaka,
AfPO:0000504,Antanosy,
AfPO:0000505,Bezanozano,
AfPO:0000506,Mikea,
AfPO:0000507,Sihanaka,
AfPO:0000508,Tanala,
AfPO:0000509,Marakwet,
AfPO:0000510,Pokot,
AfPO:0000511,Kunama,
AfPO:0000513,Nara,
AfPO:0000514,Teso,
AfPO:0000515,Jeberti,
AfPO:0000516,Aushi,
AfPO:0000517,Okavango,
AfPO:0000518,Lozi,
AfPO:0000519,Damara,
AfPO:0000520,Aghem,
AfPO:0000521,Aja,
AfPO:0000522,Fante,
AfPO:0000523,Anaang,
AfPO:0000524,Baule,
AfPO:0000525,Bamum,
AfPO:0000526,Kombe,
AfPO:0000527,Luvale,
AfPO:0000528,Bedik,
AfPO:0000529,Bassari,
AfPO:0000530,Diffa Arabs,
AfPO:0000531,Ditammari,
AfPO:0000532,Ekoi,
AfPO:0000533,Gola,
AfPO:0000534,Guan,
AfPO:0000535,Bariba,
AfPO:0000536,Konkomba,
AfPO:0000537,Lilse,
AfPO:0000538,Lobi,
AfPO:0000539,Pana,
AfPO:0000540,Samoya,
AfPO:0000541,Itsekiri,
AfPO:0000542,Bandial,
AfPO:0000543,Dan,
AfPO:0000544,Kabye,
AfPO:0000545,Krio,
AfPO:0000546,Krahn,
AfPO:0000547,Grebo,
AfPO:0000548,Kulango,
AfPO:0000549,Limba,
AfPO:0000550,Jakhanke,
AfPO:0000551,Kono,
AfPO:0000552,Kpelle,
AfPO:0000553,Kuranko,
AfPO:0000554,Loko,
AfPO:0000555,Mano,
AfPO:0000556,Vai,
AfPO:0000557,Yalunka,
AfPO:0000558,Mankanya,
AfPO:0000559,Oron,
AfPO:0000560,Papel,
AfPO:0000561,Sherbro,
AfPO:0000562,Temne,
AfPO:0000563,Lebu,
AfPO:0000564,Nuna,
AfPO:0000571,Kango,
AfPO:0000572,Ewondo,
AfPO:0000573,Birwa,
AfPO:0000574,Kissi,
AfPO:0000575,Ngazidja,
AfPO:0000576,Maore,
AfPO:0000577,Mwali,
AfPO:0000578,Ndzwani,
AfPO:0000579,Kuria,
AfPO:0000580,Karonica,
BFO:0000001,entity,
BFO:0000002,continuant,
BFO:0000015,process,
BFO:0000016,disposition,
BFO:0000017,realizable entity,
BFO:0000019,quality,
BFO:0000020,specifically dependent continuant,SpecificallyDependentContinuant|specifically dependent continuant
BFO:0000023,role,
BFO:0000024,fiat object part,
BFO:0000027,object aggregate,
BFO:0000030,object,
BFO:0000031,generically dependent continuant,
BFO:0000040,material entity,material type
BFO:0000141,immaterial entity,
BTO:0000003,intestinal cell line,
BTO:0000067,kidney cell line,
BTO:0000167,adenocarcinoma cell line,
BTO:0000188,colonic cell line,
BTO:0000195,CACO-2 cell,
BTO:0000297,carcinoma cell line,
BTO:0000353,lung cell line,
BTO:0000578,hepatoma cell line,
BTO:0000711,glioma cell line,
BTO:0000762,lung cancer cell line,
BTO:0000797,colonic cancer cell line,
BTO:0000836,MDBK cell,
BTO:0001120,epithelial cell line,
BTO:0001444,Vero cell,
BTO:0001865,PK-15 cell,
BTO:0001911,lung adenocarcinoma cell line,
BTO:0001913,colonic adenocarcinoma cell line,
BTO:0001950,HuH-7 cell,
BTO:0002022,bronchial epithelial cell line,
BTO:0002035,U-251MG cell,
BTO:0002181,HEK-293T cell,
BTO:0002637,respiratory epithelium cell line,
BTO:0002750,Calu-3 cell,
BTO:0002886,renal epithelium cell line,
BTO:0002909,RK-13 cell,
BTO:0002924,NHBE cell,
BTO:0004755,VERO C1008 cell,
CHEBI:100147,nalidixic acid,
CHEBI:100241,ciprofloxacin,
CHEBI:100246,norfloxacin,
CHEBI:102265,sulfamethazine,
CHEBI:102484,sulfisoxazole,
CHEBI:116278,lomefloxacin,
CHEBI:124991,cefalotin,
CHEBI:131927,dicarboxylic acids and O-substituted derivatives,
CHEBI:13248,anilide,
CHEBI:134742,delamanid,
CHEBI:134958,thioacetazone,
CHEBI:135278,terizidone,Trd
CHEBI:138675,gas molecular entity,
CHEBI:139588,alpha-hydroxy ketone,
CHEBI:139592,tertiary alpha-hydroxy ketone,
CHEBI:140325,secondary carboxamide,
CHEBI:140326,tertiary carboxamide,
CHEBI:143084,organometalloidal compound,
CHEBI:146295,pyranobenzodioxin,
CHEBI:15369,actinomycin,
CHEBI:15379,dioxygen,
CHEBI:157175,enoxacin,
CHEBI:15734,primary alcohol,
CHEBI:15782,viomycin,
CHEBI:15841,polypeptide,
CHEBI:15986,polynucleotide,
CHEBI:161680,aztreonam,
CHEBI:16247,phospholipid,
CHEBI:16301,nitrite,
CHEBI:16385,organic sulfide,
CHEBI:164200,triclosan,
CHEBI:16449,alanine,
CHEBI:16541,protein polypeptide chain,
CHEBI:16670,peptide,
