 Annotation Property	GENEPIO:0000001 (metadata section)
 Annotation Property	GENEPIO:0000004 (term as in existing standard)
 Annotation Property	GENEPIO:0000005 (term source)
 Annotation Property	GENEPIO:0000006 (user interface label)
 Annotation Property	GENEPIO:0000162 (user interface definition)
 Annotation Property	GENEPIO:0001745 (obsolete: user interface help)
 Annotation Property	GENEPIO:0001746 (obsolete: user interface hidden)
 Annotation Property	GENEPIO:0001763 (user interface feature)
 Annotation Property	GENEPIO:0001772 (obsolete: user interface value specification)
 Annotation Property	GENEPIO:0001920 (user interface regular epression normalize)
 Annotation Property	GENEPIO:1919 (user interface regular expression validate)
 Annotation Property	GENEPIO:1921 (user interface regular expression display format)
 Object Property	GENEPIO:0001340 (obsolete has string specification of)
 Object Property	GENEPIO:0001739 (after)
 Object Property	GENEPIO:0002469 (obsolete: has string value specification)
 Object Property	GENEPIO:0002470 (obsolete: has categorical specification of)
 Object Property	GENEPIO:0002471 (obsolete: has categorical value specification)
 Class	GENEPIO:0000002 (GSCID-BRC Project and Sample Application Standard)
 Class	GENEPIO:0000003 (Minimum Information about any (x) Sequence (MIxS))
 Class	GENEPIO:0000008 (Minimum information about a marker gene sequence)
 Class	GENEPIO:0000009 (other (metadata value))
 Class	GENEPIO:0000010 (other relevance)
 Class	GENEPIO:0000011 (other specimen scope)
 Class	GENEPIO:0000012 (other material derived from specimen)
 Class	GENEPIO:0000013 (other capture type)
 Class	GENEPIO:0000014 (other project method)
 Class	GENEPIO:0000015 (obsolete: draft GenEpiO BioSample standard)
 Class	GENEPIO:0000016 (obsolete: NCBI antibiogram data item)
 Class	GENEPIO:0000017 (American HIPPA Protected Health Information (PHI) guidelines)
 Class	GENEPIO:0000018 (obsolete: subject species)
 Class	GENEPIO:0000019 (obsolete: intersex)
 Class	GENEPIO:0000020 (obsolete: isolation date)
 Class	GENEPIO:0000021 (culture isolation date)
 Class	GENEPIO:0000022 (culture frozen date)
 Class	GENEPIO:0000023 (isolate received date)
 Class	GENEPIO:0000024 (isolate upload date)
 Class	GENEPIO:0000025 (subject anatomical site)
 Class	GENEPIO:0000026 (subject health status at time of specimen collection)
 Class	GENEPIO:0000027 (specimen source context)
 Class	GENEPIO:0000028 (subject body product)
 Class	GENEPIO:0000029 (collection depth datum)
 Class	GENEPIO:0000030 (obsolete: specimen source environmental material)
 Class	GENEPIO:0000031 (subject sex specification)
 Class	GENEPIO:0000032 (specimen collection site land use)
 Class	GENEPIO:0000033 (fecal indicator bacteria count)
 Class	GENEPIO:0000034 (conductivity measurement datum)
 Class	GENEPIO:0000035 (dissolved oxygen concentration)
 Class	GENEPIO:0000036 (the Global Microbial Identifier Minimum Data for Matching (MDM) Standard)
 Class	GENEPIO:0000037 (soluble inorganic material)
