ID,LABEL,SYNONYMS
GENEPIO:0000002,GSCID-BRC Project and Sample Application Standard,
GENEPIO:0000003,Minimum Information about any (x) Sequence (MIxS),
GENEPIO:0000008,Minimum information about a marker gene sequence,
GENEPIO:0000009,other (metadata value),
GENEPIO:0000010,other relevance,
GENEPIO:0000011,other specimen scope,
GENEPIO:0000012,other material derived from specimen,
GENEPIO:0000013,other capture type,
GENEPIO:0000014,other project method,
GENEPIO:0000015,obsolete: draft GenEpiO BioSample standard,
GENEPIO:0000016,obsolete: NCBI antibiogram data item,
GENEPIO:0000017,American HIPPA Protected Health Information (PHI) guidelines,
GENEPIO:0000018,obsolete: subject species,
GENEPIO:0000019,obsolete: intersex,
GENEPIO:0000020,obsolete: isolation date,
GENEPIO:0000021,culture isolation date,
GENEPIO:0000022,culture frozen date,
GENEPIO:0000023,isolate received date,
GENEPIO:0000024,isolate upload date,
GENEPIO:0000025,subject anatomical site,
GENEPIO:0000026,subject health status at time of specimen collection,
GENEPIO:0000027,specimen source context,
GENEPIO:0000028,subject body product,
GENEPIO:0000029,collection depth datum,
GENEPIO:0000030,obsolete: specimen source environmental material,
GENEPIO:0000031,subject sex specification,
GENEPIO:0000032,specimen collection site land use,
GENEPIO:0000033,fecal indicator bacteria count,
GENEPIO:0000034,conductivity measurement datum,
GENEPIO:0000035,dissolved oxygen concentration,
GENEPIO:0000036,the Global Microbial Identifier Minimum Data for Matching (MDM) Standard,
GENEPIO:0000037,soluble inorganic material,
GENEPIO:0000038,soluble inorganic material concentration,
GENEPIO:0000039,nitrite concentration,
GENEPIO:0000040,nitrate concentration,
GENEPIO:0000041,total phosphorous concentration,
GENEPIO:0000042,stream order categorical measurement datum,
GENEPIO:0000043,bacteria density,
GENEPIO:0000044,primary enzyme (LMAAI),
GENEPIO:0000045,PFGE test specification,
GENEPIO:0000046,PFGE primary test,
GENEPIO:0000047,secondary enzyme (LMACI),
GENEPIO:0000048,PFGE secondary test,
GENEPIO:0000049,MLST clonal complex,
GENEPIO:0000050,MLST sequence typing,
GENEPIO:0000051,core genome fingerprinting assay,
GENEPIO:0000052,CGF type,
GENEPIO:0000053,16S rRNA sequencing,
GENEPIO:0000054,Stx toxin type datum,
GENEPIO:0000055,Stx toxin subtype datum,
GENEPIO:0000056,Stx1 Toxin PCR result,
GENEPIO:0000057,Stx1 cell culture level,
GENEPIO:0000058,Stx2 Toxin PCR result,
GENEPIO:0000059,Stx2 cell culture level,
GENEPIO:0000060,AccuProbe culture identification assay,
GENEPIO:0000061,AccuProbe Listeria monocytogenes culture identification reagent kit,
GENEPIO:0000062,AccuProbe test result,
GENEPIO:0000063,ribotyping,
GENEPIO:0000064,riboprinting,
GENEPIO:0000065,Qualicon (DuPont) RiboPrinter Microbial Characterization System,
GENEPIO:0000066,DuPont identification pattern library,
GENEPIO:0000067,RiboPrinter DUP Number,
GENEPIO:0000068,RiboPrinter DUP similarity,
GENEPIO:0000069,sequencing run date,
GENEPIO:0000070,sequencing location,
GENEPIO:0000071,sequencing platform (brand),
GENEPIO:0000072,sequencing workflow,
GENEPIO:0000073,sequencing application (software),
GENEPIO:0000074,obsolete: sequencing assay,
GENEPIO:0000075,sequencing chemistry,
GENEPIO:0000076,read length,
GENEPIO:0000077,obsolete: GSCID-BRC data item,
GENEPIO:0000078,sequencing run multiplex identifiers,
GENEPIO:0000079,sequencing run sample identifier,sample name|sample title
GENEPIO:0000080,sequencing count of chemistry cycles,
GENEPIO:0000081,sequencing kit,
GENEPIO:0000082,sequencing kit version,
GENEPIO:0000083,adapter sequence,
GENEPIO:0000084,read adapter trimming,
GENEPIO:0000085,library preparation kit,
GENEPIO:0000086,number of expected base pairs per genome,
GENEPIO:0000087,number of reads passing filter,
GENEPIO:0000088,sequencer flow cell cluster density,
GENEPIO:0000089,phred quality score,
GENEPIO:0000090,assembly method,
GENEPIO:0000091,assembly status,
GENEPIO:0000092,read coverage,
GENEPIO:0000093,contig count,
GENEPIO:0000094,assembly name (identifier),
GENEPIO:0000095,genome annotation algorithm,
GENEPIO:0000096,genome annotation source,
GENEPIO:0000097,obsolete: NCBI BioSample data item,
GENEPIO:0000099,,
GENEPIO:0000100,,
GENEPIO:0000101,,
GENEPIO:0000102,IRIDA case ID,
GENEPIO:0000103,obsolete: NCBI BioProject data item,
GENEPIO:0000104,obsolete: INSDC MDM standard,
GENEPIO:0000105,obsolete: MIxS data item,
GENEPIO:0000106,draft data standard,
GENEPIO:0000107,obsolete: HIPPA PHI data item,
GENEPIO:0000108,obsolete: PulseNet data item,
GENEPIO:0000109,I2B2 Data Protection role standard,
GENEPIO:0000110,subject health status (GSCID-BRC),
GENEPIO:0000111,GSCID-BRC Core Sample standard,
GENEPIO:0000112,GSCID-BRC Core Project standard,
GENEPIO:0000113,specimen category,
GENEPIO:0000114,subject age - unit,
GENEPIO:0000115,NCBI standard,National Center for Biotechnology Information standard
GENEPIO:0000117,specimen collection location - city or region,
GENEPIO:0000118,specimen collection location - country,
GENEPIO:0000119,Darwin Core Terms,
GENEPIO:0000120,travel history item,
GENEPIO:0000121,travel start date,
GENEPIO:0000122,travel end date,
GENEPIO:0000123,infection aquired during travel,
GENEPIO:0000124,draft pathogenic epidemiology case investigation record,
GENEPIO:0000125,draft pathogenic epi case exposure record,
GENEPIO:0000126,draft pathogenic epi case food record,
GENEPIO:0000127,food brought back from travel,
GENEPIO:0000128,epidemiology contact network model,
GENEPIO:0000129,epi contact network model - human,
GENEPIO:0000130,epi contact network model - animal,
GENEPIO:0000131,note,
GENEPIO:0000132,draft pathogenic epi case general information record,
GENEPIO:0000133,draft pathogenic epi case isolate detail record,
GENEPIO:0000134,specimen source substance,
GENEPIO:0000135,isolate sequence filename,
GENEPIO:0000136,cluster identifier,
GENEPIO:0000137,draft pathogenic epi case test record,
GENEPIO:0000138,contact specification - lab test requester,
GENEPIO:0000139,food cultural origin,
GENEPIO:0000140,draft pathogenic epi case travel record,
GENEPIO:0000141,Region (England) (entry subject to GAZ replacement),
GENEPIO:0000142,contact specification - epi network contact,
GENEPIO:0000143,public health lab epidemiology contextual data standard,
GENEPIO:0000144,draft whole genome sequencing lab test record,
GENEPIO:0000145,draft WGS lab bioinformatics process record,
GENEPIO:0000146,draft WGS lab sequencing record,
GENEPIO:0000147,NCBI SRA meta information standard,
GENEPIO:0000148,isolate raw read filename,
GENEPIO:0000149,library preparation kit version,
GENEPIO:0000150,read trimming and filtering software,
GENEPIO:0000151,bioinformatics pipeline name,
GENEPIO:0000152,bioinformatics pipeline version,
GENEPIO:0000153,bioinformatics pipeline protocol,
GENEPIO:0000154,draft WGS lab sequencing quality metrics record,
GENEPIO:0000155,draft WGS lab assembly quality metrics record,
GENEPIO:0000156,project data type,
GENEPIO:0000157,assembly project,
GENEPIO:0000158,clone ends project,
GENEPIO:0000159,epigenomics project,
GENEPIO:0000160,exome resequencing project,
GENEPIO:0000161,genome sequencing project,
GENEPIO:0001000,draft ReSeq Tuberculosis data platform standard,
GENEPIO:0001001,test threshold measurement comparator,
GENEPIO:0001002,less than,
GENEPIO:0001003,less than or equal to,
GENEPIO:0001004,equal to,
GENEPIO:0001005,greater than or equal to,
GENEPIO:0001006,greater than,
GENEPIO:0001007,NCBI Antibiogram standard,
GENEPIO:0001008,obsolete: NCBI isolate AMR testing model,
GENEPIO:0001009,obsolete: restaurant,
GENEPIO:0001010,Canadian Integrated Public Health Information System (iPHIS) Standard,
GENEPIO:0001011,MIRU24 - international standard,
GENEPIO:0001012,MIRU24 - Canadian standard,
GENEPIO:0001013,spray-wading water,
GENEPIO:0001014,pool water,
GENEPIO:0001015,obsolete: hot tub,
GENEPIO:0001016,obsolete: cafeteria,
GENEPIO:0001017,obsolete: bakery,
GENEPIO:0001018,obsolete: delicatessen,
GENEPIO:0001019,obsolete: food kiosk,
GENEPIO:0001020,obsolete: grocery store,
GENEPIO:0001021,obsolete: specialty/ethnic store,
GENEPIO:0001022,obsolete: market,
GENEPIO:0001023,treatment history datum,
GENEPIO:0001024,obsolete: take out restaurant,
GENEPIO:0001025,treatment start date,
GENEPIO:0001026,canoeing / kayaking / boating,
GENEPIO:0001027,hiking,
GENEPIO:0001028,camping,
GENEPIO:0001029,obsolete: social gathering,
GENEPIO:0001030,obsolete: party,
GENEPIO:0001031,obsolete: wedding,
GENEPIO:0001032,obsolete: baby shower,
GENEPIO:0001033,obsolete: potluck,
GENEPIO:0001034,obsolete: community event,
GENEPIO:0001035,obsolete: long term care facility,
GENEPIO:0001036,treatment end date,
GENEPIO:0001037,food related exposure event,
GENEPIO:0001038,infection-specific food detail,
GENEPIO:0001039,tuberculosis treatment drug,
GENEPIO:0001040,vegetarian,
GENEPIO:0001041,organism location history datum,
GENEPIO:0001042,food avoidance,
GENEPIO:0001043,special diet,
GENEPIO:0001044,water related exposure event,
GENEPIO:0001045,municipal water,
GENEPIO:0001046,immigration year of arrival,
GENEPIO:0001047,bottled water,
GENEPIO:0001048,infectious disease exposure event,
GENEPIO:0001049,human related exposure event,
GENEPIO:0001050,animal related exposure event,
GENEPIO:0001051,NCBI BioSample isolate (human name or description),
GENEPIO:0001052,obsolete: petting zoo,
GENEPIO:0001053,agricultural fair,
GENEPIO:0001054,isolate passage history datum,
GENEPIO:0001055,NCBI pathotype,
GENEPIO:0001056,obsolete: pet treat,
GENEPIO:0001057,obsolete: pet food (raw),
GENEPIO:0001058,human exposure event - travel datum,
GENEPIO:0001059,boat / cruise travel,
GENEPIO:0001060,train travel,
GENEPIO:0001061,bus travel,
GENEPIO:0001062,car travel,
GENEPIO:0001063,airline travel,
GENEPIO:0001064,travel mode,
GENEPIO:0001065,travel reason,
GENEPIO:0001066,travel for pleasure,
GENEPIO:0001067,business activity,
GENEPIO:0001068,religious missionairy activity,
GENEPIO:0001069,rural backpacking activity,
GENEPIO:0001070,visiting relative/friends,
GENEPIO:0001071,travel tour,
GENEPIO:0001072,unsure of travel reason,
GENEPIO:0001073,draft tuberculosis - specimen contextual data standard,
GENEPIO:0001074,behavioural risk factor,
GENEPIO:0001075,obsolete: E. coli serotype part,
GENEPIO:0001076,O antigen,
GENEPIO:0001077,H antigen,
GENEPIO:0001078,homeless status,
GENEPIO:0001079,serovar/serotype common name,
GENEPIO:0001080,Salmonella serovar,
GENEPIO:0001081,Salmonella serovar name,
GENEPIO:0001082,Salmonella antigenic formula,
GENEPIO:0001083,drug use status,
